,window_size,precision,recall,f1_score
0,2,0.009433962264150943,0.3888888888888889,0.018421052631578946
1,3,0.009433962264150943,0.3888888888888889,0.018421052631578946
2,4,0.015174506828528073,0.5555555555555556,0.029542097488921712
3,5,0.015174506828528073,0.5555555555555556,0.029542097488921712
4,7,0.022857142857142857,0.6666666666666666,0.04419889502762431
5,9,0.02575107296137339,0.6666666666666666,0.049586776859504134
6,11,0.02526315789473684,0.6666666666666666,0.0486815415821501
7,20,0.03009259259259259,0.7222222222222222,0.057777777777777775
8,30,0.029545454545454545,0.7222222222222222,0.056768558951965066
9,40,0.03160270880361174,0.7777777777777778,0.06073752711496746
10,50,0.02959830866807611,0.7777777777777778,0.05702647657841141
11,75,0.028112449799196786,0.7777777777777778,0.05426356589147287
12,100,0.025134649910233394,0.7777777777777778,0.04869565217391304
